    Raman shift    inc freq                      X                               Y                                Z
                                            Real       Imag                 Real       Imag                 Real       Imag
                                   -0.834563E+01  -0.281146E+00      0.385387E+02   0.129829E+01      0.386694E-13   0.129603E-14

                                   -0.901011E-14  -0.309979E-15      0.386694E-13   0.129603E-14      0.755474E-03   0.348173E-04

      0.00000    34278.54500        0.181335E+01   0.614334E-01     -0.837377E+01  -0.283689E+00     -0.904112E-14  -0.312846E-15

                                   -0.837377E+01  -0.283689E+00      0.386687E+02   0.131003E+01      0.387991E-13   0.130769E-14

                                   -0.904112E-14  -0.312846E-15      0.387991E-13   0.130769E-14      0.758952E-03   0.352248E-04

      0.00000    34318.87270        0.181950E+01   0.619911E-01     -0.840215E+01  -0.286265E+00     -0.907242E-14  -0.315752E-15

                                   -0.840215E+01  -0.286265E+00      0.387998E+02   0.132192E+01      0.389299E-13   0.131950E-14

                                   -0.907242E-14  -0.315752E-15      0.389299E-13   0.131950E-14      0.762471E-03   0.356396E-04

      0.00000    34359.20040        0.182570E+01   0.625560E-01     -0.843080E+01  -0.288873E+00     -0.910401E-14  -0.318696E-15

                                   -0.843080E+01  -0.288873E+00      0.389320E+02   0.133397E+01      0.390620E-13   0.133145E-14

                                   -0.910401E-14  -0.318696E-15      0.390620E-13   0.133145E-14      0.766030E-03   0.360619E-04

      0.00000    34399.52810        0.183196E+01   0.631281E-01     -0.845971E+01  -0.291515E+00     -0.913590E-14  -0.321679E-15

                                   -0.845971E+01  -0.291515E+00      0.390655E+02   0.134617E+01      0.391953E-13   0.134357E-14

                                   -0.913590E-14  -0.321679E-15      0.391953E-13   0.134357E-14      0.769632E-03   0.364919E-04

      0.00000    34439.85580        0.183828E+01   0.637076E-01     -0.848888E+01  -0.294191E+00     -0.916808E-14  -0.324704E-15

                                   -0.848888E+01  -0.294191E+00      0.392002E+02   0.135853E+01      0.393297E-13   0.135582E-14

                                   -0.916808E-14  -0.324704E-15      0.393297E-13   0.135582E-14      0.773276E-03   0.369297E-04

      0.00000    34480.18350        0.184466E+01   0.642947E-01     -0.851831E+01  -0.296902E+00     -0.920057E-14  -0.327769E-15

                                   -0.851831E+01  -0.296902E+00      0.393362E+02   0.137105E+01      0.394654E-13   0.136824E-14

                                   -0.920057E-14  -0.327769E-15      0.394654E-13   0.136824E-14      0.776964E-03   0.373756E-04

      0.00000    34520.51120        0.185109E+01   0.648895E-01     -0.854802E+01  -0.299649E+00     -0.923336E-14  -0.330875E-15

                                   -0.854802E+01  -0.299649E+00      0.394733E+02   0.138373E+01      0.396023E-13   0.138083E-14

                                   -0.923336E-14  -0.330875E-15      0.396023E-13   0.138083E-14      0.780696E-03   0.378298E-04

      0.00000    34560.83890        0.185758E+01   0.654920E-01     -0.857800E+01  -0.302431E+00     -0.926646E-14  -0.334024E-15

                                   -0.857800E+01  -0.302431E+00      0.396118E+02   0.139658E+01      0.397404E-13   0.139357E-14

                                   -0.926646E-14  -0.334024E-15      0.397404E-13   0.139357E-14      0.784473E-03   0.382926E-04

      0.00000    34601.16660        0.186413E+01   0.661025E-01     -0.860826E+01  -0.305251E+00     -0.929987E-14  -0.337216E-15

                                   -0.860826E+01  -0.305251E+00      0.397515E+02   0.140960E+01      0.398799E-13   0.140647E-14

                                   -0.929987E-14  -0.337216E-15      0.398799E-13   0.140647E-14      0.788296E-03   0.387640E-04

      0.00000    34641.49430        0.187075E+01   0.667212E-01     -0.863880E+01  -0.308107E+00     -0.933360E-14  -0.340454E-15

                                   -0.863880E+01  -0.308107E+00      0.398926E+02   0.142279E+01      0.400207E-13   0.141955E-14

                                   -0.933360E-14  -0.340454E-15      0.400207E-13   0.141955E-14      0.792166E-03   0.392444E-04

      0.00000    34681.82200        0.187742E+01   0.673481E-01     -0.866963E+01  -0.311002E+00     -0.936766E-14  -0.343736E-15

