  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      42182.77         0.81555E+04   0.34274E+04   0.30395E+05   0.00000E+00
       0.00      42223.10         0.82232E+04   0.34558E+04   0.30647E+05   0.00000E+00
       0.00      42263.43         0.82748E+04   0.34775E+04   0.30840E+05   0.00000E+00
       0.00      42303.76         0.83079E+04   0.34914E+04   0.30963E+05   0.00000E+00
       0.00      42344.09         0.83236E+04   0.34980E+04   0.31021E+05   0.00000E+00
       0.00      42384.41         0.83255E+04   0.34990E+04   0.31028E+05   0.00000E+00
       0.00      42424.74         0.83196E+04   0.34966E+04   0.31005E+05   0.00000E+00
       0.00      42465.07         0.83125E+04   0.34939E+04   0.30977E+05   0.00000E+00
       0.00      42505.40         0.83108E+04   0.34934E+04   0.30969E+05   0.00000E+00
       0.00      42545.72         0.83196E+04   0.34974E+04   0.31000E+05   0.00000E+00
       0.00      42586.05         0.83427E+04   0.35074E+04   0.31084E+05   0.00000E+00
       0.00      42626.38         0.83823E+04   0.35244E+04   0.31229E+05   0.00000E+00
       0.00      42666.71         0.84401E+04   0.35491E+04   0.31442E+05   0.00000E+00
       0.00      42707.03         0.85178E+04   0.35821E+04   0.31730E+05   0.00000E+00
       0.00      42747.36         0.86176E+04   0.36244E+04   0.32099E+05   0.00000E+00
       0.00      42787.69         0.87417E+04   0.36768E+04   0.32560E+05   0.00000E+00
       0.00      42828.02         0.88917E+04   0.37402E+04   0.33117E+05   0.00000E+00
       0.00      42868.35         0.90678E+04   0.38144E+04   0.33772E+05   0.00000E+00
       0.00      42908.67         0.92684E+04   0.38989E+04   0.34518E+05   0.00000E+00
       0.00      42949.00         0.94901E+04   0.39922E+04   0.35344E+05   0.00000E+00
       0.00      42989.33         0.97278E+04   0.40922E+04   0.36229E+05   0.00000E+00
       0.00      43029.66         0.99751E+04   0.41962E+04   0.37150E+05   0.00000E+00
       0.00      43069.98         0.10224E+05   0.43009E+04   0.38077E+05   0.00000E+00
       0.00      43110.31         0.10466E+05   0.44029E+04   0.38980E+05   0.00000E+00
       0.00      43150.64         0.10694E+05   0.44984E+04   0.39826E+05   0.00000E+00
       0.00      43190.97         0.10897E+05   0.45842E+04   0.40585E+05   0.00000E+00
