  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      43069.98         0.69562E+05   0.28979E+05   0.26089E+06   0.00000E+00
       0.00      43110.31         0.68571E+05   0.28567E+05   0.25717E+06   0.00000E+00
       0.00      43150.64         0.67610E+05   0.28166E+05   0.25357E+06   0.00000E+00
       0.00      43190.97         0.66671E+05   0.27775E+05   0.25005E+06   0.00000E+00
       0.00      43231.29         0.65749E+05   0.27391E+05   0.24659E+06   0.00000E+00
       0.00      43271.62         0.64843E+05   0.27013E+05   0.24319E+06   0.00000E+00
       0.00      43311.95         0.63953E+05   0.26643E+05   0.23985E+06   0.00000E+00
       0.00      43352.28         0.63082E+05   0.26280E+05   0.23659E+06   0.00000E+00
       0.00      43392.61         0.62232E+05   0.25926E+05   0.23340E+06   0.00000E+00
       0.00      43432.93         0.61403E+05   0.25580E+05   0.23029E+06   0.00000E+00
       0.00      43473.26         0.60594E+05   0.25243E+05   0.22726E+06   0.00000E+00
       0.00      43513.59         0.59804E+05   0.24914E+05   0.22429E+06   0.00000E+00
       0.00      43553.92         0.59028E+05   0.24591E+05   0.22138E+06   0.00000E+00
       0.00      43594.24         0.58262E+05   0.24272E+05   0.21851E+06   0.00000E+00
       0.00      43634.57         0.57500E+05   0.23954E+05   0.21565E+06   0.00000E+00
       0.00      43674.90         0.56736E+05   0.23636E+05   0.21279E+06   0.00000E+00
       0.00      43715.23         0.55968E+05   0.23316E+05   0.20991E+06   0.00000E+00
       0.00      43755.55         0.55195E+05   0.22994E+05   0.20701E+06   0.00000E+00
       0.00      43795.88         0.54417E+05   0.22670E+05   0.20409E+06   0.00000E+00
       0.00      43836.21         0.53640E+05   0.22346E+05   0.20117E+06   0.00000E+00
       0.00      43876.54         0.52866E+05   0.22024E+05   0.19827E+06   0.00000E+00
       0.00      43916.87         0.52099E+05   0.21704E+05   0.19539E+06   0.00000E+00
       0.00      43957.19         0.51340E+05   0.21388E+05   0.19255E+06   0.00000E+00
       0.00      43997.52         0.50588E+05   0.21075E+05   0.18973E+06   0.00000E+00
       0.00      44037.85         0.49840E+05   0.20763E+05   0.18692E+06   0.00000E+00
       0.00      44078.18         0.49092E+05   0.20452E+05   0.18412E+06   0.00000E+00
       0.00      44118.50         0.48342E+05   0.20139E+05   0.18130E+06   0.00000E+00
       0.00      44158.83         0.47590E+05   0.19826E+05   0.17848E+06   0.00000E+00
       0.00      44199.16         0.46838E+05   0.19512E+05   0.17566E+06   0.00000E+00
       0.00      44239.49         0.46090E+05   0.19201E+05   0.17286E+06   0.00000E+00
       0.00      44279.81         0.45352E+05   0.18894E+05   0.17009E+06   0.00000E+00
       0.00      44320.14         0.44627E+05   0.18591E+05   0.16737E+06   0.00000E+00
       0.00      44360.47         0.43916E+05   0.18295E+05   0.16471E+06   0.00000E+00
       0.00      44400.80         0.43220E+05   0.18005E+05   0.16210E+06   0.00000E+00
       0.00      44441.13         0.42537E+05   0.17721E+05   0.15953E+06   0.00000E+00
       0.00      44481.45         0.41865E+05   0.17441E+05   0.15701E+06   0.00000E+00
       0.00      44521.78         0.41204E+05   0.17166E+05   0.15453E+06   0.00000E+00
       0.00      44562.11         0.40553E+05   0.16894E+05   0.15209E+06   0.00000E+00
       0.00      44602.44         0.39913E+05   0.16628E+05   0.14969E+06   0.00000E+00
       0.00      44642.76         0.39285E+05   0.16366E+05   0.14734E+06   0.00000E+00
       0.00      44683.09         0.38669E+05   0.16109E+05   0.14503E+06   0.00000E+00
       0.00      44723.42         0.38066E+05   0.15858E+05   0.14276E+06   0.00000E+00
       0.00      44763.75         0.37477E+05   0.15613E+05   0.14056E+06   0.00000E+00
       0.00      44804.07         0.36902E+05   0.15373E+05   0.13840E+06   0.00000E+00
       0.00      44844.40         0.36340E+05   0.15139E+05   0.13629E+06   0.00000E+00
       0.00      44884.73         0.35791E+05   0.14910E+05   0.13423E+06   0.00000E+00
       0.00      44925.06         0.35252E+05   0.14686E+05   0.13221E+06   0.00000E+00
       0.00      44965.39         0.34723E+05   0.14466E+05   0.13023E+06   0.00000E+00
       0.00      45005.71         0.34204E+05   0.14249E+05   0.12828E+06   0.00000E+00
       0.00      45046.04         0.33693E+05   0.14036E+05   0.12636E+06   0.00000E+00
       0.00      45086.37         0.33190E+05   0.13827E+05   0.12448E+06   0.00000E+00
       0.00      45126.70         0.32696E+05   0.13621E+05   0.12262E+06   0.00000E+00
       0.00      45167.02         0.32210E+05   0.13418E+05   0.12080E+06   0.00000E+00
       0.00      45207.35         0.31732E+05   0.13219E+05   0.11901E+06   0.00000E+00
       0.00      45247.68         0.31262E+05   0.13024E+05   0.11725E+06   0.00000E+00
       0.00      45288.01         0.30801E+05   0.12831E+05   0.11552E+06   0.00000E+00
       0.00      45328.33         0.30346E+05   0.12642E+05   0.11381E+06   0.00000E+00
       0.00      45368.66         0.29899E+05   0.12456E+05   0.11213E+06   0.00000E+00
       0.00      45408.99         0.29458E+05   0.12272E+05   0.11048E+06   0.00000E+00
       0.00      45449.32         0.29022E+05   0.12090E+05   0.10884E+06   0.00000E+00
